# Created by matching the wordlist from the corpus against a wordlist formed by all variants in the DHPB variants list
#Keyword Types: 629
#Keyword Tokens: 6922
Rank	Freq Corpus	Keyness(+/-)	Keyness	Effect	Keyword
1	76	+	874.54	0.0075	doentes
2	70	+	805.47	0.0069	febre
3	118	+	767.53	0.0114	enfermo
4	249	+	529.81	0.0157	naõ
5	46	+	529.26	0.0046	doença
6	43	+	494.73	0.0043	bem
7	37	+	425.69	0.0037	nem
8	54	+	419.88	0.0053	febres
9	32	+	368.16	0.0032	me
10	30	+	345.14	0.003	lhes
11	686	+	332.12	0.0115	se
12	206	+	322.06	0.0122	he
13	27	+	310.62	0.0027	cada
14	26	+	299.12	0.0026	pouco
15	37	+	274.39	0.0037	estomago
16	29	+	267.5	0.0029	sangrias
17	23	+	264.6	0.0023	outros
18	30	+	256.89	0.003	enfermeiro
19	22	+	253.1	0.0022	tiver
20	59	+	250.85	0.0056	agoa
21	41	+	250.63	0.004	medico
22	30	+	247.61	0.003	pulso
23	61	+	245.59	0.0058	saõ
24	28	+	241.99	0.0028	malignas
25	21	+	241.59	0.0021	humores
26	58	+	240.07	0.0055	doente
27	20	+	230.09	0.002	bezoartico
28	20	+	230.09	0.002	curar
29	19	+	218.58	0.0019	tenho
30	155	+	216.8	0.0099	huma
31	18	+	207.08	0.0018	dous
32	18	+	207.08	0.0018	peripneumonia
33	18	+	207.08	0.0018	purga
34	17	+	195.57	0.0017	pleuriz
35	17	+	195.57	0.0017	pombos
36	17	+	195.57	0.0017	quinaquina
37	17	+	195.57	0.0017	vomitar
38	23	+	194.57	0.0023	sangria
39	22	+	189.57	0.0022	symptomas
40	45	+	188.5	0.0043	remedios
41	16	+	184.07	0.0016	bebida
42	16	+	184.07	0.0016	fria
43	16	+	184.07	0.0016	ventre
44	16	+	184.07	0.0016	º
45	91	+	177.43	0.0073	vezes
46	15	+	172.56	0.0015	banho
47	15	+	172.56	0.0015	cama
48	15	+	172.56	0.0015	cozimento
49	15	+	172.56	0.0015	devem
50	14	+	161.06	0.0014	lado
51	20	+	154.77	0.002	crescimento
52	13	+	149.55	0.0013	bom
53	13	+	149.55	0.0013	pouca
54	13	+	149.55	0.0013	tiverem
55	13	+	149.55	0.0013	untura
56	13	+	142.35	0.0013	escarros
57	231	+	138.48	0.0092	ou
58	12	+	138.05	0.0012	caldo
59	12	+	138.05	0.0012	cordial
60	12	+	138.05	0.0012	pequeno
61	12	+	138.05	0.0012	quentes
62	32	+	132.3	0.0031	entaõ
63	15	+	129.72	0.0015	sangrar
64	11	+	126.54	0.0011	diz
65	11	+	126.54	0.0011	doenças
66	11	+	126.54	0.0011	duro
67	11	+	126.54	0.0011	fim
68	11	+	126.54	0.0011	maligna
69	11	+	126.54	0.0011	tarde
70	11	+	126.54	0.0011	unturas
71	18	+	123.18	0.0018	vomitorio
72	14	+	120.98	0.0014	evacuaçaõ
73	23	+	118.9	0.0023	dôr
74	28	+	118.1	0.0027	enfermos
75	10	+	115.04	0.001	purgar
76	10	+	115.04	0.001	quarto
77	10	+	115.04	0.001	repetir
78	10	+	115.04	0.001	sezaõ
79	10	+	115.04	0.001	tremor
80	10	+	115.04	0.001	unguento
81	11	+	112.01	0.0011	crescimentos
82	9	+	103.53	0.0009	camiza
83	9	+	103.53	0.0009	cozida
84	9	+	103.53	0.0009	onças
85	9	+	103.53	0.0009	pontada
86	9	+	103.53	0.0009	tenha
87	9	+	103.53	0.0009	vinagre
88	9	+	103.53	0.0009	virtude
89	28	+	102.98	0.0027	quente
90	23	+	102.68	0.0023	haõ
91	74	+	100.51	0.0058	dar
92	11	+	99.07	0.0011	cursos
93	17	+	95.45	0.0017	medicos
94	8	+	92.03	0.0008	beber
95	8	+	92.03	0.0008	bofe
96	8	+	92.03	0.0008	certos
97	8	+	92.03	0.0008	cordeal
98	8	+	92.03	0.0008	tornar
99	8	+	92.03	0.0008	vitriolo
100	139	+	90.31	0.0074	hum
101	16	+	88.59	0.0016	estiver
