# Created by matching the wordlist from the corpus against a wordlist formed by all entries in the DHPB variants list
#Keyword Types: 766
#Keyword Tokens: 7575
Rank	Freq Corpus	Keyness(+/-)	Keyness	Effect	Keyword
1	260	+	2987.31	0.0252	não
2	206	+	2366.32	0.02	é
3	78	+	895.49	0.0076	doentes
4	78	+	895.49	0.0076	água
5	70	+	803.62	0.0069	febre
6	119	+	764.53	0.0113	enfermo
7	64	+	734.72	0.0063	são
8	53	+	608.41	0.0052	há
9	47	+	539.52	0.0046	doença
10	46	+	528.04	0.0045	remédios
11	44	+	505.08	0.0043	tão
12	43	+	493.6	0.0042	bem
13	42	+	482.11	0.0041	remédio
14	39	+	447.67	0.0038	médico
15	37	+	424.71	0.0036	estômago
16	37	+	424.71	0.0036	nem
17	54	+	417.63	0.0053	febres
18	36	+	413.23	0.0035	até
19	35	+	401.75	0.0034	me
20	35	+	401.75	0.0034	três
21	34	+	390.27	0.0033	então
22	33	+	378.79	0.0032	lhes
23	30	+	344.35	0.0029	hora
24	30	+	344.35	0.0029	horas
25	29	+	332.87	0.0028	só
26	27	+	309.91	0.0026	cada
27	27	+	309.91	0.0026	capítulo
28	26	+	298.43	0.0026	pouco
29	24	+	275.47	0.0024	já
30	24	+	275.47	0.0024	também
31	23	+	263.99	0.0023	outros
32	23	+	263.99	0.0023	à
33	30	+	257.37	0.0029	malignas
34	22	+	252.51	0.0022	tiver
35	30	+	247.9	0.0029	enfermeiro
36	21	+	241.04	0.0021	humores
37	21	+	241.04	0.0021	á
38	58	+	237.62	0.0055	doente
39	31	+	236.25	0.003	pulso
40	20	+	229.56	0.002	bezoártico
41	20	+	229.56	0.002	cordial
42	20	+	229.56	0.002	curar
43	699	+	222.72	0.0101	se
44	19	+	218.08	0.0019	está
45	19	+	218.08	0.0019	estão
46	19	+	218.08	0.0019	peripneumonia
47	19	+	218.08	0.0019	tenho
48	19	+	218.08	0.0019	vomitório
49	18	+	206.6	0.0018	médicos
50	18	+	206.6	0.0018	pleuris
51	17	+	195.12	0.0017	pombos
52	17	+	195.12	0.0017	purga
53	17	+	195.12	0.0017	quinaquina
54	17	+	195.12	0.0017	vomitar
55	29	+	194.53	0.0028	sangrias
56	16	+	183.64	0.0016	bebida
57	16	+	183.64	0.0016	fria
58	16	+	183.64	0.0016	ventre
59	16	+	183.64	0.0016	º
60	23	+	174.87	0.0023	sangria
61	92	+	172.75	0.0073	vezes
62	15	+	172.16	0.0015	banho
63	15	+	172.16	0.0015	cama
64	15	+	172.16	0.0015	cozimento
65	15	+	172.16	0.0015	devem
66	15	+	172.16	0.0015	língua
67	15	+	172.16	0.0015	pés
68	14	+	160.69	0.0014	evacuação
69	14	+	160.69	0.0014	fará
70	14	+	160.69	0.0014	lado
71	14	+	160.69	0.0014	necessário
72	14	+	160.69	0.0014	porém
73	14	+	160.69	0.0014	sezão
74	21	+	160.31	0.0021	crescimento
75	13	+	149.21	0.0013	bom
76	13	+	149.21	0.0013	pouca
77	13	+	149.21	0.0013	tiverem
78	13	+	149.21	0.0013	untura
79	13	+	149.21	0.0013	às
80	22	+	145.25	0.0022	sintomas
81	12	+	137.73	0.0012	caldo
82	12	+	137.73	0.0012	espécie
83	12	+	137.73	0.0012	pequeno
84	12	+	137.73	0.0012	quentes
85	12	+	137.73	0.0012	senão
86	12	+	137.73	0.0012	têm
87	231	+	134.42	0.0092	ou
88	11	+	126.25	0.0011	diz
89	11	+	126.25	0.0011	duro
90	11	+	126.25	0.0011	maligna
91	11	+	126.25	0.0011	matérias
92	11	+	126.25	0.0011	purgar
93	11	+	126.25	0.0011	pôr
94	11	+	126.25	0.0011	razão
95	11	+	126.25	0.0011	será
96	11	+	126.25	0.0011	tarde
97	11	+	126.25	0.0011	unturas
98	83	+	125.62	0.0064	dar
99	19	+	125.29	0.0019	ão
100	20	+	121.71	0.002	suor
101	12	+	117.16	0.0012	crescimentos
102	28	+	116.49	0.0027	enfermos
103	10	+	114.77	0.001	abundância
104	10	+	114.77	0.001	dará
105	10	+	114.77	0.001	doenças
106	10	+	114.77	0.001	houver
107	10	+	114.77	0.001	quarto
108	10	+	114.77	0.001	quase
109	10	+	114.77	0.001	repetir
110	10	+	114.77	0.001	tremor
111	10	+	114.77	0.001	unguento
112	10	+	114.77	0.001	óleo
113	9	+	103.3	0.0009	cheio
114	9	+	103.3	0.0009	coração
115	9	+	103.3	0.0009	cozida
116	9	+	103.3	0.0009	haja
117	9	+	103.3	0.0009	onças
118	9	+	103.3	0.0009	pontada
119	9	+	103.3	0.0009	saúde
120	9	+	103.3	0.0009	tenha
121	9	+	103.3	0.0009	vinagre
122	9	+	103.3	0.0009	virtude
123	28	+	102.1	0.0027	quente
124	15	+	98.84	0.0015	sangrar
125	29	+	98.4	0.0028	ar
126	13	+	92.14	0.0013	escarros
127	8	+	91.82	0.0008	beber
128	8	+	91.82	0.0008	bofe
129	8	+	91.82	0.0008	certos
130	8	+	91.82	0.0008	chama
131	8	+	91.82	0.0008	coisa
132	8	+	91.82	0.0008	dão
133	8	+	91.82	0.0008	fim
134	8	+	91.82	0.0008	podridão
135	8	+	91.82	0.0008	porção
136	8	+	91.82	0.0008	tornar
137	8	+	91.82	0.0008	vitríolo
138	28	+	91.74	0.0027	dor
139	35	+	90.02	0.0032	preciso
140	48	+	81.47	0.0041	deve
141	7	+	80.34	0.0007	acham
142	7	+	80.34	0.0007	advertir
143	7	+	80.34	0.0007	coisas
144	7	+	80.34	0.0007	consequência
145	7	+	80.34	0.0007	dareis
146	7	+	80.34	0.0007	declinação
147	7	+	80.34	0.0007	diarreia
148	7	+	80.34	0.0007	experiência
149	7	+	80.34	0.0007	fique
150	7	+	80.34	0.0007	havia
151	7	+	80.34	0.0007	lambedor
152	7	+	80.34	0.0007	lançar
153	7	+	80.34	0.0007	laxante
154	7	+	80.34	0.0007	princípio
155	7	+	80.34	0.0007	purgas
156	7	+	80.34	0.0007	pós
157	7	+	80.34	0.0007	quem
158	7	+	80.34	0.0007	remitentes
159	7	+	80.34	0.0007	transpiração
160	7	+	80.34	0.0007	óleos
161	13	+	79.7	0.0013	podres
162	31	+	77.5	0.0029	comer
163	162	+	76.55	0.0074	uma
164	12	+	74.71	0.0012	venenosa
165	10	+	71.15	0.001	suores
166	6	+	68.86	0.0006	além
167	6	+	68.86	0.0006	aplicação
168	6	+	68.86	0.0006	atenção
169	6	+	68.86	0.0006	azougue
170	6	+	68.86	0.0006	chamam
171	6	+	68.86	0.0006	cirurgião
172	6	+	68.86	0.0006	contrário
173	6	+	68.86	0.0006	faça
174	6	+	68.86	0.0006	fraco
175	6	+	68.86	0.0006	humor
176	6	+	68.86	0.0006	inflamação
177	6	+	68.86	0.0006	joão
178	6	+	68.86	0.0006	moléstia
179	6	+	68.86	0.0006	morador
180	6	+	68.86	0.0006	má
181	6	+	68.86	0.0006	mão
182	6	+	68.86	0.0006	onça
183	6	+	68.86	0.0006	ordinário
