Modern	Original	Frequency in original
capítulo	capitulo	27
xiii	xiii	1
.	.	407
.	c.	1
.	:	1
das	das	55
febres	febres	54
malignas	malignas	28
malignas	maligas	1
malignas	maligmas	1
quando	quando	61
quando	quãdo	1
um	hum	137
um	hũ	4
um	de	1
marinheiro	marinheiro	1
da	da	164
equipagem	equipagem	2
de	de	736
navio	navio	1
mercantil	mercantil	1
é	he	201
é	o	1
é	verdade	1
é	a	1
é	conveniente	2
atacado	ataco	1
atacado	atacado	1
febre	febre	70
maligna	maligna	11
,	,	2621
raro	raro	9
que	que	834
que	qae	1
que	q	5
que	~q	2
que	aindaque	1
os	os	299
os	as	1
outros	outros	23
o	o	654
não	naõ	248
não	naô	3
não	não	7
não	aproveitando	1
não	só	1
sejam	sejaõ	6
sucessivamente	successivamente	1
:	:	51
eu	eu	48
tenho	tenho	19
visto	visto	5
mais	mais	130
uma	huma	154
uma	a	1
uma	hũa	7
vez	vez	9
navios	navios	5
desarmados	desarmados	1
pela	pela	27
quantidade	quantidade	15
doentes	doentes	76
doentes	doontes	1
doentes	dontes	1
foram	foraõ	2
atacados	atacados	3
delas	dellas	7
;	;	409
este	este	41
mal	mal	13
tanto	tanto	24
perigoso	perigoso	3
quanto	quanto	18
sintomas	symptomas	19
sintomas	febres	1
sintomas	mortaes	1
sintomas	cresceraõ	1
acompanham	acompanhaõ	1
no	no	125
seu	seu	24
princípio	principio	7
parecem	parecem	4
muitas	muitas	52
vezes	vezes	91
vezes	vezês	1
pouca	pouca	13
consequência	consequencia	7
faz	faz	22
elas	ellas	10
se	se	586
se	ae	1
desprezem	desprezem	1
e	e	541
e	&	245
cheguem	cheguem	1
a	a	620
a	á	1
a	tema	1
estar	estar	17
nos	nos	38
últimos	ultimos	4
extremos	extremos	3
antes	antes	18
tenha	tenha	9
percebido	percebido	1
estão	estáõ	1
estão	estaõ	18
há	ha	52
há	à	1
com	com	236
tudo	tudo	16
tudo	tudo-se	1
são	saõ	61
são	saó	1
são	sam	1
são	sao	1
anunciadas	annunciadas	1
muitos	muitos	30
dias	dias	37
por	por	139
por	pór	1
número	numero	3
correios	correios	1
vem	vem	4
diante	diante	1
tais	taes	12
tais	delirios	1
como	como	92
como	tomo	1
pulso	pulso	30
pulso	pulfo	1
lento	lento	1
oprimido	opprimido	1
lassidão	lassidaõ	1
acompanhada	acompanhada	6
tristeza	tristeza	1
fastio	fastio	9
peso	pezo	5
na	na	59
boca	bocca	8
boca	lingua	1
boca	boca	14
do	do	237
estômago	estomago	37
grossa	grossa	1
língua	lingua	12
língua	bocca	1
língua	língua	2
as	as	149
gengivas	gingivas	1
gengivas	gengivas	1
dentes	dentes	3
cobertos	cobertos	2
cobertos	cubertos	1
matéria	materia	2
amarelada	amarellada	1
glutinosa	glutinosa	1
verdoenga	verdoenga	1
assim	assim	30
vão	vaõ	4
arrastando	arrastando	1
marinheiros	marinheiros	10
tendo	tendo	13
todo	todo	25
alimento	alimento	3
até	até	23
até	atè	13
chegam	chegaõ	2
enfim	em	1
enfim	fim	1
sucumbir	succumbir	1
poder-se-iam	poder-se-hiaõ	2
pois	pois	21
prevenir	prevenir	3
estas	estas	26
estas	eftas	1
doenças	doenças	10
obrigando-os	obrigando-os	1
observar	observar	6
dieta	dieta	7
tomar	tomar	20
ar	ár	7
ar	ar	22
sobre	sobre	32
convés	convez	1
dando-lhes	dando-lhes	1
dando-lhes	dandolhes	1
vomitório	vomitorio	18
vomitório	vomitotio	1
n.	n.	28
n.	n	1
21.	21.	5
fazendo-lhes	fazendo-lhes	1
depois	depois	43
duas	duas	40
ou	ou	231
três	tres	29
três	três	2
três	trez	4
porções	porções	4
dia	dia	49
dos	dos	78
dos	dous	1
pós	pós	6
pós	pòs	1
n.º	n.º	16
i7.	i7	1
limonada	limonada	3
água	agoa	59
água	agua	19
vinagre	vinagre	9
porque	porque	97
eles	elles	45
eles	eles	1
ficam	ficaõ	4
debaixo	debaixo	8
conveses	convezes	2
aonde	aonde	10
amontoados	amontoados	1
confusamente	confusamente	1
principalmente	principalmente	15
pouco	pouco	26
numerosa	numerosa	1
eis-aí	eis-ahi	1
começam	começaõ	6
emanações	emanações	1
mefíticas	mefiticas	1
respiram	respiraõ	4
nestes	nestes	2
lugares	lugares	1
está	está	15
está	esta	4
carregado	carregado	3
inficionar	inficionar	1
toda	toda	12
membrana	membrana	1
pituitária	pituitaria	1
nariz	nariz	4
seios	seios	1
face	face	1
brônquios	bronquios	1
daí	dahi	1
transportam	transportaõ	1
para	para	212
para	pára	1
túnicas	tunicas	2
causa	causa	15
em	em	215
tempo	tempo	54
propagam	propagão	1
pegam	pegaõ	2
verdadeira	verdadeira	4
inoculação	innoculaçaõ	1
enxertia	enxertia	1
prostração	prostracçaõ	1
abatimento	abatimento	2
perda	perda	1
total	total	2
forças	forças	13
desde	desde	6
desde	des-de	1
sinas	signaes	1
caracteriza	caracterezaõ	1
distinguem	distinguem	2
outras	outras	19
espécies	especies	3
podres	podres	13
sintoma	symptoma	6
particular	particular	6
parece	parece	8
indicar	indicar	2
destas	destas	8
consiste	consiste	1
corrupção	corrupçaõ	3
corrupção	corrupção	2
depravação	depravaçaõ	2
humores	humores	21
sangue	sangue	19
enfraquecimento	enfraquecimento	1
partes	partes	10
orgânicas	organicas	1
sólidas	sólidas	1
podem	podem	7
podem	pódem	3
desempenhar	desempenhar	1
suas	suas	7
funções	funções	1
ajuntai	ajuntai	1
isto	isto	19
miasma	miasma	1
insensível	insensivel	2
heterogêneo	heterogeneo	1
subtil	subtil	1
certo	certo	10
veneno	veneno	5
espalhado	espalhado	1
pelo	pelo	34
ataca	ataca	2
nervos	nervos	2
peste	peste	4
pode	póde	13
pode	pode	7
ver	ver	2
espécie	especie	12
elevada	elevada	1
ao	ao	126
